quarter,nav
2006Q2,57.250598269144724
2006Q3,58.27982804532172
2006Q4,59.44810265546297
2007Q1,55.66961624552144
2007Q2,58.65118359911644
2007Q3,62.20852914803206
2007Q4,67.52680773333064
2008Q1,64.48161637609041
2008Q2,66.32604975315662
2008Q3,65.27714956690642
2008Q4,61.12723934148866
2009Q1,64.07884270261619
2009Q2,72.07684295154763
2009Q3,79.33527735642222
2009Q4,95.08855323566412
2010Q1,99.57153075686483
2010Q2,101.4539970272094
2010Q3,100.24953396559744
2010Q4,101.9930051480627
2011Q1,103.44962927264612
2011Q2,107.77900970731568
2011Q3,112.05504519011309
2011Q4,128.07762000169038
2012Q1,141.5563230006941
2012Q2,147.92800680629307
2012Q3,159.5640234067137
2012Q4,173.3142259871011
2013Q1,180.6626550340358
2013Q2,185.53813689645
2013Q3,185.97763160501182
2013Q4,171.73266921012404
2014Q1,164.4337298901576
2014Q2,156.76442570194578
2014Q3,154.0550842692408
2014Q4,162.87855706352727
2015Q1,158.51421403881008
2015Q2,162.36414711105286
2015Q3,162.50473689642376
2015Q4,167.06178065571962
2016Q1,159.36212180837765
2016Q2,155.1103920214472
2016Q3,160.4493178101938
2016Q4,163.99252454424095
2017Q1,163.53543175708262
2017Q2,171.9953392464911
2017Q3,184.96450353800844
2017Q4,192.91080958443723
2018Q1,194.23633580834405
2018Q2,221.54601108611504
2018Q3,200.70801258399993
2018Q4,191.93295914981766
2019Q1,182.14920925046928
2019Q2,197.49751117549673
2019Q3,205.03640882889107
2019Q4,212.7649284300456
2020Q1,210.0235412797651
2020Q2,220.40879954841307
2020Q3,221.55719886391398
2020Q4,229.71235388625982
2021Q1,232.86609076488827
2021Q2,238.35521839385947
2021Q3,253.78849427083532
2021Q4,263.1873449814404
2022Q1,268.6149433270248
2022Q2,284.3855042592592
2022Q3,299.1921063740038
2022Q4,300.84893511950366
2023Q1,286.4680586038493
2023Q2,289.5429626805513
2023Q3,298.03092162970216
2023Q4,298.89760547497025
2024Q1,295.5482060162726
2024Q2,294.77245171311057
2024Q3,274.29208239183134
