schemeName,2018,2019,2020,2021,2022,2023,2024
360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE Balanced Hybrid Fund - Regular Plan - Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE Balanced Hybrid Fund- Direct Plan - Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund - Regular Plan - Growth Option,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund Direct Plan Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund Direct Plan Monthly Dividend,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund Direct Plan Quarterly Dividend,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund Regular Plan Bonus,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund Regular Plan Half Yearly Dividend,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund Regular Plan Monthly Dividend,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Dynamic Bond Fund Regular Plan Quarterly Dividend,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - IDCW Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - Growth,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE ELSS Tax Saver Nifty 50 Index Fund - Regular Plan - IDCW Payout,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,INACTIVE,INACTIVE,INACTIVE,INACTIVE,INACTIVE,ACTIVE,ACTIVE
360 ONE Focused Equity Fund - Direct Plan - Dividend,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Focused Equity Fund - Regular Plan - Dividend,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Focused Equity Fund -Regular Plan - Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE Focused Equity Fund-Direct Plan-Growth,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE LIQUID FUND DIRECT PLAN  DAILY DIVIDEND REINVESTMENT,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE LIQUID FUND DIRECT PLAN  GROWTH,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE LIQUID FUND DIRECT PLAN  WEEKLY DIVIDEND,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
360 ONE LIQUID FUND REGULAR PLAN  DAILY DIVIDEND REINVESTMENT,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE,ACTIVE
